,t_O1,t_O2,t_O3,theta_yield,theta_exp,kappa_O1,kappa_O2,kappa_O3,dt_O2_O1,dt_O3_O1,dt_O3_O2,curvature,projection_capacity,collapse_metric,sigma,y_center
t_O1,1.0,0.9899231151719494,0.9899163798953182,0.9629232534441657,0.7008295905362203,-0.11393127743619058,-0.16487655701799123,-0.1584335816027389,0.989803443404955,0.9898787302257104,0.9899132620888761,0.1477322596449574,-0.5052605313870013,-0.5052605313870013,-0.5642563555258315,0.23526176312499794
t_O2,0.9899231151719494,1.0,0.9999999972355542,0.9515153866733577,0.6728568816257495,-0.06713074512240567,-0.08417193721511348,-0.07639405490899283,0.9999996449933913,0.9999999493483184,0.9999999940860422,0.23785250813082484,-0.4690108254683647,-0.46901082546836464,-0.5334534509598513,0.28190974343872655
t_O3,0.9899163798953182,0.9999999972355542,1.0,0.9515218069386798,0.6728597835023769,-0.06713639377140361,-0.0841654070632564,-0.07638651798781661,0.9999996822907807,0.9999999647437997,0.9999999994083302,0.2379247204556425,-0.4690073917738431,-0.4690073917738431,-0.5334530844274811,0.28197416854042134
theta_yield,0.9629232534441657,0.9515153866733577,0.9515218069386798,1.0,0.8174723247071773,-0.11659561755978748,-0.17780998758425295,-0.16950259517881483,0.951390111577252,0.9514824139946186,0.9515247753791626,0.3087298464625583,-0.6310780636518877,-0.6310780636518879,-0.6889985672660521,0.39386873925178933
theta_exp,0.7008295905362203,0.6728568816257495,0.6728597835023769,0.8174723247071773,1.0,0.28231615756811324,0.14256893822249497,0.14629006199537264,0.6726498457208974,0.672794608904069,0.672861124744812,0.1885454106713941,-0.950999396709449,-0.9509993967094489,-0.9742682048561696,0.16703620198500246
kappa_O1,-0.11393127743619058,-0.06713074512240567,-0.06713639377140361,-0.11659561755978748,0.28231615756811324,1.0,0.9601618684853328,0.9586242158462657,-0.06684821042153469,-0.06704740096359717,-0.0671390068917822,-0.10252163627166973,-0.4030005816536168,-0.4030005816536169,-0.3887712972730423,-0.43643524449808285
kappa_O2,-0.16487655701799123,-0.08417193721511348,-0.0841654070632564,-0.17780998758425295,0.14256893822249497,0.9601618684853328,1.0,0.9996840696649681,-0.08368662909578885,-0.08401251255023397,-0.08416238584839512,0.053844079792964565,-0.24969280262876697,-0.249692802628767,-0.24249265456812297,-0.3285615631622572
kappa_O3,-0.1584335816027389,-0.07639405490899283,-0.07638651798781661,-0.16950259517881483,0.14629006199537264,0.9586242158462657,0.9996840696649681,1.0,-0.07590127259586132,-0.0762312664959631,-0.07638303102377071,0.06886822896850489,-0.24732381867844339,-0.24732381867844344,-0.24189165400884177,-0.313751320678586
dt_O2_O1,0.989803443404955,0.9999996449933913,0.9999996822907807,0.951390111577252,0.6726498457208974,-0.06684821042153469,-0.08368662909578885,-0.07590127259586132,1.0,0.9999998581550268,0.9999996976751574,0.23837442010264193,-0.4687668329137846,-0.4687668329137848,-0.5332379824743488,0.2821703172051484
dt_O3_O1,0.9898787302257104,0.9999999493483184,0.9999999647437997,0.9514824139946186,0.672794608904069,-0.06704740096359717,-0.08401251255023397,-0.0762312664959631,0.9999998581550268,1.0,0.9999999699956512,0.2380892888469794,-0.4689305498397849,-0.4689305498397848,-0.5333852383123102,0.2820563952986152
dt_O3_O2,0.9899132620888761,0.9999999940860422,0.9999999994083302,0.9515247753791626,0.672861124744812,-0.0671390068917822,-0.08416238584839512,-0.07638303102377071,0.9999996976751574,0.9999999699956512,1.0,0.23795812774514094,-0.46900580235944855,-0.4690058023594487,-0.5334529138599934,0.2820039731286652
curvature,0.1477322596449574,0.23785250813082484,0.2379247204556425,0.3087298464625583,0.1885454106713941,-0.10252163627166973,0.053844079792964565,0.06886822896850489,0.23837442010264193,0.2380892888469794,0.23795812774514094,1.0,-0.055042954329010595,-0.055042954329010595,-0.11087352893867787,0.9131862829273292
projection_capacity,-0.5052605313870013,-0.4690108254683647,-0.4690073917738431,-0.6310780636518877,-0.950999396709449,-0.4030005816536168,-0.24969280262876697,-0.24732381867844339,-0.4687668329137846,-0.4689305498397849,-0.46900580235944855,-0.055042954329010595,1.0,1.0,0.9954383938516201,0.010276822904792616
collapse_metric,-0.5052605313870013,-0.46901082546836464,-0.4690073917738431,-0.6310780636518879,-0.9509993967094489,-0.4030005816536169,-0.249692802628767,-0.24732381867844344,-0.4687668329137848,-0.4689305498397848,-0.4690058023594487,-0.055042954329010595,1.0,1.0,0.9954383938516199,0.010276822904792553
sigma,-0.5642563555258315,-0.5334534509598513,-0.5334530844274811,-0.6889985672660521,-0.9742682048561696,-0.3887712972730423,-0.24249265456812297,-0.24189165400884177,-0.5332379824743488,-0.5333852383123102,-0.5334529138599934,-0.11087352893867787,0.9954383938516201,0.9954383938516199,1.0,-0.04927515704565752
y_center,0.23526176312499794,0.28190974343872655,0.28197416854042134,0.39386873925178933,0.16703620198500246,-0.43643524449808285,-0.3285615631622572,-0.313751320678586,0.2821703172051484,0.2820563952986152,0.2820039731286652,0.9131862829273292,0.010276822904792616,0.010276822904792553,-0.04927515704565752,1.0
