pT_low,pT_high,pT_center,y_low,y_high,y_center,x,Q2,sigma,curvature,projection_capacity,collapse_metric,source,t_O1,t_O2,t_O3,theta_yield,theta_exp,t_O1_norm,t_O2_norm,t_O3_norm,theta_yield_norm,theta_exp_norm,kappa_O1,kappa_O2,kappa_O3,mds_x,mds_y,mds3_x,mds3_y,mds3_z,dt_O2_O1,dt_O3_O1,dt_O3_O2,horizon_dt_O2_O1,horizon_dt_O3_O1,horizon_dt_O3_O2
2.0,5.0,3.5,-1.0,1.0,0.0,0.0006965729366639,13.94,2.15,3881.922528849525,558.6434696804871,0.0055864346968048,D^0crosssectionfor2_p_T_5GeVinPbPbUPCs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.533383435395,-22.783122111301672,132.94691833227176,67.24233043950164,304.0481709302896,0.0,0.0,0.0,False,False,False
5.0,8.0,6.5,-2.0,-1.0,-1.5,0.005542516050478,43.94,0.181,686.5705451123467,2.7652262720368213,2.765226272036821e-05,D^0crosssectionfor5_p_T_8GeVinPbPbUPCs.csv,8.159896179484603,1026.1313915525398,3243.361920545484,5.164837921383102,1.1655,0.11012220820429586,0.08096066623969768,0.08093856585661471,0.17222415359809734,0.6944527200143001,2.320663119514809,2.973879618861621,2.858353423933509,1193.619431813097,-441.94793535046955,101.31782380392704,-539.6550259425776,1142.780641637379,1017.9714953730552,3235.202024365999,2217.230528992944,False,False,False
5.0,8.0,6.5,-1.0,0.0,-0.5,0.0020389777073335,43.94,0.197,1866.292236155528,8.181120839400068,8.181120839400067e-05,D^0crosssectionfor5_p_T_8GeVinPbPbUPCs.csv,15.436112842533614,1399.206788499233,4423.120464241831,11.366952251252247,1.3545,0.20831868383132524,0.11039591492529198,0.11037961095830076,0.3790368178557787,0.8070666746112137,0.6639164628801335,0.018144916294491515,0.003970610518000636,856.4093048951868,-277.3873482368623,84.7821757683714,-305.47140295794526,845.4633189411078,1383.7706756566993,4407.684351399297,3023.9136757425977,False,False,False
5.0,8.0,6.5,0.0,1.0,0.5,0.0007500979795349,43.94,0.104,5073.1082678605735,11.740170446317306,0.0001174017044631,D^0crosssectionfor5_p_T_8GeVinPbPbUPCs.csv,21.029220230576783,2413.295627299146,7629.939608443329,13.88676563473079,1.5050000000000001,0.28380069031121385,0.19040643666877244,0.19040624654559674,0.4630612797654247,0.8967407495680153,0.6509353985848458,0.006630242674131672,0.0014196102205856957,-151.50392573493022,-93.83622967985015,2.8262580727376663,128.50631484405423,-70.94866198557966,2392.266407068569,7608.910388212753,5216.643981144183,False,False,False
5.0,8.0,6.5,1.0,2.0,1.5,0.0002759456255351,43.94,0.041,13790.137986741076,12.581122773840324,0.0001258112277384,D^0crosssectionfor5_p_T_8GeVinPbPbUPCs.csv,26.535783706450786,5169.863924691301,16346.969793267283,16.60530063415422,1.5775000000000001,0.35811473993171644,0.4078967188386178,0.40794099566474845,0.5537122152699264,0.9399392242149794,2.245195224666736,3.1127940081121266,3.1397453456077855,-2596.4549187239854,1210.9713903934428,-242.62237210355602,1024.5371985341244,-2665.6078293120845,5143.32814098485,16320.434009560831,11177.105868575982,False,False,False
8.0,12.0,10.0,-2.0,-1.0,-1.5,0.0084317176846692,101.69,0.0325,549.3204248385081,0.1738525056699923,1.7385250566999237e-06,D^0crosssectionfor8_p_T_12GeVinPbPbUPCs.csv,56.37458378631665,9359.067694209603,29587.806345433994,19.858688419558053,1.6142500000000002,0.7608054706327649,0.7384204032187472,0.7383679870175895,0.6621980895986831,0.9618363820532683,2.57082682302173,3.1331185081381383,3.128767920268595,1228.752087173668,-471.2642130375615,91.39110981261611,-562.5255740964598,1180.597567258258,9302.693110423286,29531.431761647676,20228.73865122439,True,True,True
8.0,12.0,10.0,-1.0,0.0,-0.5,0.0031018555899514,101.69,0.03,1493.2077285356215,0.4362277909832374,4.362277909832374e-06,D^0crosssectionfor8_p_T_12GeVinPbPbUPCs.csv,62.9343089484629,9657.564465760479,30531.70734678979,24.009881648151907,1.6455000000000002,0.849332506293463,0.7619714783482135,0.7619231730350389,0.8006217441448988,0.9804564142286838,0.6401402590964439,0.02225587465587628,0.0018334402008658814,964.736390159265,-325.8014297205067,103.87740819213296,-375.22482245721807,941.6469682061179,9594.630156812016,30468.773037841325,20874.14288102931,True,True,True
8.0,12.0,10.0,0.0,1.0,0.5,0.0011411089010258,101.69,0.0158,4058.959432344515,0.6245161070312917,6.245161070312916e-06,D^0crosssectionfor8_p_T_12GeVinPbPbUPCs.csv,68.5251105301265,10468.931322264922,33097.46044811594,26.510062719556405,1.6684,0.9247833946702992,0.8259874531134155,0.8259519127967037,0.8839915565995973,0.9941011738068283,0.7213018002548197,0.00818956938573084,0.0012561953147475493,159.69735390220427,-175.40120309415926,110.98011297660466,-65.94269773529741,183.9738495461105,10400.406211734795,33028.93533758581,22628.52912585102,True,True,True
8.0,12.0,10.0,1.0,2.0,1.5,0.0004197905048251,101.69,0.004,11033.395650780449,0.4297748817131346,4.297748817131347e-06,D^0crosssectionfor8_p_T_12GeVinPbPbUPCs.csv,74.09855207722111,12674.443519455548,40071.8975709454,29.989045168634004,1.6783000000000001,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1915.7891069199006,597.4500908372682,-385.4994348551055,628.5336793718177,-1861.9540252215993,12600.344967378327,39997.79901886818,27397.454051489854,True,True,True
